
2023/06/13 (04:18:50) | ===> btop++ v.1.2.13
2023/06/13 (04:18:50) | INFO: Logger set to INFO

2024/01/21 (17:52:24) | ===> btop++ v.1.3.0
2024/01/21 (17:52:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/22 (18:23:44) | ===> btop++ v.1.3.0
2024/01/22 (18:23:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/22 (18:27:06) | ===> btop++ v.1.3.0
2024/01/22 (18:27:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/22 (18:27:31) | ===> btop++ v.1.3.0
2024/01/22 (18:27:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/22 (18:28:39) | ===> btop++ v.1.3.0
2024/01/22 (18:28:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/22 (18:28:41) | ===> btop++ v.1.3.0
2024/01/22 (18:28:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
